284.29,147.8312,997,658.7858,171.5921,1075.5,0
284.3865,147.5727,980.5,658.8417,171.7297,1076,31.4367999956012
284.4281,147.4807,997.5,658.7618,171.5955,1084.5,63.7439999952912
284.5345,147.5294,992,658.8068,171.529,1086,95.513599999249
284.1628,147.9364,998.5,658.7999,171.6662,1085,143.833599999547
284.4734,147.322,982.5,658.8342,171.8008,1081,175.923199996352
284.4539,147.5655,998.5,658.887,172.0205,1073.5,207.872000001371
284.3318,147.5888,993.5,658.7114,171.5551,1073,239.974399998784
284.5811,147.4789,985.5,658.7946,171.9472,1077,271.193599998951
284.5064,147.6505,989,658.8098,171.7695,1084.5,303.347199998796
284.6369,147.1359,996,658.8462,171.9001,1082.5,335.500799998641
284.468,147.3194,981,658.8026,171.7619,1079.5,367.743999995291
284.5929,147.2479,989,658.7814,171.9291,1076.5,399.32159999758
284.3945,147.7527,972.5,658.8068,171.727,1096.5,431.705600000918
284.3202,147.7169,1002,658.8654,171.6576,1082,479.782399997115
284.3909,147.562,987,658.8298,171.6619,1080.5,511.923199996352
284.4139,147.6697,992.5,658.8177,171.8516,1074.5,543.244800001383
284.5322,147.5222,987.5,658.9066,171.8208,1084.5,576.179200001061
284.3246,147.7062,987,658.8497,171.8631,1082.5,607.807999998331
284.286,147.712,978.5,658.8316,172.033,1072,639.795199997723
284.3466,147.6962,992,658.8484,171.8579,1073.5,671.897599995136
284.4945,147.4137,987.5,658.9376,172.1241,1090.5,703.641599997878
284.4127,147.5941,983,658.8651,171.6255,1066,736.24319999665
284.486,147.509,978,658.7873,171.6388,1087.5,768.332800000906
284.4639,147.4619,1007,658.9205,171.7476,1069,799.232000000775
284.4555,147.4348,993.5,658.8356,171.8397,1077,851.955200001597
284.4579,147.5139,978.5,658.8882,171.7529,1084,879.308799996972
284.2832,147.8157,974,658.9412,171.8989,1079.5,911.513599999249
284.3782,147.5356,984.5,658.8934,171.9479,1085,943.475199997425
284.5011,147.332,983.5,658.7106,171.7125,1091.5,976.115199998021
284.4073,147.6497,1000,658.8041,171.6633,1079,1007.24480000138
